running,avg_speed,avg_size,avg_energy,avg_age,avg_vision,trees,entities,avg_apples
True,5.0,6.0,86.10000000000078,2.3166666666666633,75.0,50,50,0.0
True,5.0,6.0,86.00000000000087,2.333333333333329,75.0,50,50,0.0
True,5.0,6.0,85.90000000000087,2.349999999999995,75.0,50,50,0.0
True,5.0,6.0,85.80000000000076,2.366666666666661,75.0,50,50,0.0
True,5.0,6.0,85.70000000000077,2.3833333333333284,75.0,50,50,0.0
True,5.0,6.0,85.6000000000008,2.3999999999999946,75.0,50,50,0.0
True,5.0,6.0,85.50000000000087,2.4166666666666607,75.0,50,50,0.0
True,5.0,6.0,85.40000000000087,2.4333333333333265,75.0,50,50,0.0
True,5.0,6.0,85.30000000000076,2.4499999999999993,75.0,50,50,0.0
True,5.0,6.0,85.20000000000077,2.466666666666665,75.0,50,50,0.0
True,5.0,6.0,85.10000000000083,2.4833333333333316,75.0,50,50,0.0
True,5.0,6.0,85.0000000000009,2.4999999999999973,75.0,50,50,0.0
True,5.0,6.0,84.90000000000092,2.516666666666665,75.0,50,50,0.0
True,5.0,6.0,84.80000000000098,2.5333333333333306,75.0,50,50,0.0
True,5.0,6.0,84.70000000000081,2.5499999999999967,75.0,50,50,0.0
True,5.0,6.0,84.60000000000083,2.5666666666666624,75.0,50,50,0.0
True,5.0,6.0,84.5000000000009,2.583333333333329,75.0,50,50,0.0
True,5.0,6.0,84.40000000000096,2.5999999999999948,75.0,50,50,0.0
